year,season,fleet,,,EffN,l10,l15,l20,l25,l30,l35,l40,l45,l50,l55,l60,l65,l70,l75,l80,l85,l90,l95,l100,l105,l110,l115,l120,l125,l130,l135,l140,l145,l150,l155,l160,l165,l170,l175,l180,l185,l190,l195,l200,l205,l210,l215,l220,l225,l230,l235,l240,l245,l250,l255,l260,fleet
2004,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0,60,103,80,47,186,193,423,812,1185,2682,2668,2950,2056,2785,2209,3173,2496,1715,1793,1952,1690,1030,877,805,231,743,301,292,230,210,160,240,87,0,0,SWO_WPO_DWLL
2004,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,39,13,30,30,0,0,139,651,673,402,205,307,530,719,726,1251,1179,1776,979,1307,1190,228,248,107,223,29,45,60,0,0,30,0,10,0,SWO_WPO_DWLL
2004,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,42,0,0,30,60,162,192,89,313,269,671,1045,801,773,954,1248,606,930,258,61,0,0,24,0,0,0,8,0,0,0,0,0,SWO_WPO_DWLL
2004,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,150,90,86,83,120,360,449,693,196,409,809,878,858,717,746,834,908,558,342,211,139,180,210,60,0,0,11,6,0,0,30,0,9,SWO_WPO_DWLL
2005,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,55,150,140,60,186,460,766,565,979,976,907,1600,1296,1679,1877,1917,1640,1341,986,935,498,480,212,86,86,78,208,91,36,77,52,21,36,19,SWO_WPO_DWLL
2005,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,60,28,134,72,342,457,664,1040,909,885,936,583,506,423,454,397,443,227,213,86,162,114,158,44,60,47,90,30,47,0,30,102,SWO_WPO_DWLL
2005,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,30,60,120,30,29,30,148,180,214,336,60,189,168,83,149,167,47,0,30,55,0,55,0,0,0,30,30,60,0,0,0,0,0,SWO_WPO_DWLL
2005,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,34,52,18,30,0,171,300,326,319,188,113,313,524,1016,655,461,624,213,240,113,30,89,60,0,0,90,0,0,0,0,0,0,0,SWO_WPO_DWLL
2006,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,90,23,195,111,64,112,182,454,536,518,563,381,507,1007,948,633,1089,584,151,519,589,277,153,160,274,52,106,65,39,0,0,90,30,0,SWO_WPO_DWLL
2006,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,120,30,124,122,238,342,490,297,227,207,317,242,136,215,182,171,190,268,268,95,68,26,101,31,27,54,65,170,SWO_WPO_DWLL
2006,7,2,0,0,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,0,78,30,0,0,0,30,0,0,0,30,0,0,30,39,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2006,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,51,140,60,60,21,30,0,293,345,175,295,202,372,581,449,299,287,139,84,180,150,30,60,30,180,60,0,30,60,0,0,0,0,29,SWO_WPO_DWLL
2007,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,148,127,195,23,124,373,843,689,1084,1564,1196,1768,1390,2414,1338,1155,858,843,672,266,433,586,243,224,170,89,82,107,30,69,79,46,213,SWO_WPO_DWLL
2007,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,49,0,30,25,98,349,243,683,608,726,1255,1249,825,598,584,605,437,408,215,98,115,149,173,79,43,49,0,31,43,8,0,0,SWO_WPO_DWLL
2007,7,2,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,35,27,27,0,29,0,0,54,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2007,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,27,30,90,90,80,0,82,118,0,60,118,175,142,120,170,30,60,30,30,30,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2008,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,18,102,0,74,59,403,500,691,707,1079,1059,1711,1394,1280,1148,1173,274,510,201,276,232,96,150,164,76,137,134,271,30,163,26,84,157,SWO_WPO_DWLL
2008,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,30,100,60,115,117,359,854,368,857,919,1182,1463,1484,1922,1495,1144,683,641,533,369,489,332,115,168,284,153,232,228,0,89,114,61,116,SWO_WPO_DWLL
2008,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,19,0,29,0,41,89,37,15,49,30,88,129,306,446,444,716,1060,839,782,779,691,779,718,507,255,188,120,68,97,30,50,38,0,52,0,30,0,30,0,56,SWO_WPO_DWLL
2008,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,30,32,0,0,0,49,76,47,51,106,53,107,39,29,120,138,82,0,0,0,0,13,0,0,0,19,0,0,0,0,0,0,0,SWO_WPO_DWLL
2009,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,0,15,0,27,27,17,0,30,510,566,751,718,730,518,757,627,871,626,744,446,398,357,147,14,183,142,141,0,30,20,0,0,21,0,11,0,SWO_WPO_DWLL
2009,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,58,57,28,73,51,169,295,446,1124,1155,915,1072,888,1209,1147,995,611,654,653,661,823,434,148,319,66,103,86,64,30,0,0,60,0,12,34,SWO_WPO_DWLL
2009,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,29,4,60,107,104,0,120,13,2,38,2,27,7,6,8,16,8,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2009,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,90,0,0,0,0,60,149,73,174,143,57,136,71,49,207,269,120,90,90,85,0,0,30,30,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2010,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,36,60,142,190,308,711,1604,1632,1792,2200,2488,2302,2949,1758,1836,1058,1371,638,638,612,685,245,292,150,30,122,0,60,58,30,0,30,SWO_WPO_DWLL
2010,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,9,39,85,0,131,47,273,805,791,665,1099,1036,1412,1652,2695,2376,1089,1206,1209,1203,819,706,445,242,287,95,187,90,103,73,24,88,13,92,SWO_WPO_DWLL
2010,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,60,87,57,38,135,85,239,404,408,297,67,33,227,274,405,99,144,58,0,14,37,16,20,0,2,0,0,0,SWO_WPO_DWLL
2010,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,180,125,34,157,111,452,267,145,105,48,30,86,30,56,0,27,0,0,0,0,9,0,0,0,30,SWO_WPO_DWLL
2011,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,30,15,215,86,371,422,387,765,858,785,1063,840,880,601,552,544,156,146,305,103,149,60,45,15,43,22,30,13,0,22,SWO_WPO_DWLL
2011,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,43,416,151,114,17,316,573,1017,1585,2350,2589,2435,2394,2420,2323,3333,3047,4031,3161,2799,2190,1681,1705,1409,475,950,316,459,287,225,119,120,119,169,248,SWO_WPO_DWLL
2011,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,28,0,0,0,0,47,0,135,233,290,411,631,485,572,568,382,505,504,519,552,182,138,191,160,93,166,110,30,0,30,39,28,0,30,227,SWO_WPO_DWLL
2011,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,30,52,163,111,143,120,164,24,30,30,139,20,0,0,0,30,30,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2012,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,59,23,54,73,34,47,228,136,263,195,402,495,556,607,605,827,968,770,1095,1618,1820,1211,1177,994,732,650,631,618,555,255,330,112,122,37,66,124,65,13,SWO_WPO_DWLL
2012,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,30,96,35,101,231,28,413,328,971,1441,1068,847,781,1134,1085,998,1752,1285,1601,1614,1319,1645,946,1017,310,350,508,215,217,104,69,12,91,0,81,65,SWO_WPO_DWLL
2012,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,33,0,54,39,172,129,21,146,316,154,228,78,164,323,167,134,146,54,63,67,20,29,23,0,0,0,0,0,44,SWO_WPO_DWLL
2012,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,0,55,83,48,48,30,51,222,89,60,90,120,88,30,30,65,0,58,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2013,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,48,0,47,100,0,139,125,278,341,579,875,1037,918,1033,976,1878,1154,841,957,1045,884,599,186,429,155,427,187,112,108,140,62,90,22,30,60,SWO_WPO_DWLL
2013,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,90,29,0,73,49,163,151,228,232,398,660,474,468,960,621,751,640,697,779,467,428,671,316,292,119,132,76,57,30,49,0,0,26,SWO_WPO_DWLL
2013,7,2,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,26,0,0,26,26,0,0,0,0,26,27,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2013,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,90,149,89,0,60,30,0,30,150,60,30,60,240,120,30,60,90,30,90,60,120,30,30,30,60,0,0,0,0,0,0,0,SWO_WPO_DWLL
2014,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,98,0,0,325,237,407,354,419,735,428,472,806,365,321,193,419,225,204,464,233,141,168,51,75,15,58,30,0,0,19,14,SWO_WPO_DWLL
2014,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,28,0,356,263,606,461,734,633,520,706,1004,993,882,1094,980,670,517,564,436,362,215,154,185,110,103,0,0,29,0,11,SWO_WPO_DWLL
2014,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,86,71,60,0,0,52,22,54,22,54,54,0,116,22,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2014,10,2,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,30,23,23,13,0,2,0,0,13,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,SWO_WPO_DWLL
2015,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,49,251,324,405,439,1017,673,721,1117,1230,662,722,618,770,854,726,309,300,187,213,101,38,66,63,32,0,19,30,0,SWO_WPO_DWLL
2015,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,292,1045,753,1234,879,958,609,647,664,1331,1170,639,871,1358,653,1136,953,370,495,261,60,92,0,69,0,0,82,SWO_WPO_DWLL
2015,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,85,226,311,281,469,399,263,250,276,251,247,189,52,23,199,0,80,60,0,0,0,0,64,47,0,0,SWO_WPO_DWLL
2015,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,50,66,136,297,341,236,515,503,493,269,199,77,162,135,20,120,0,90,80,30,0,0,0,19,0,30,0,0,SWO_WPO_DWLL
2016,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,279,487,623,1210,730,1852,1916,1701,1251,960,493,340,573,509,328,293,152,216,137,58,18,81,84,15,30,0,51,SWO_WPO_DWLL
2016,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,288,1015,662,1189,764,875,653,1325,1244,1411,1297,1075,1166,920,1198,989,863,653,400,272,168,194,124,111,39,14,112,SWO_WPO_DWLL
2016,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,30,80,72,228,289,241,198,56,107,63,48,51,33,54,25,20,34,41,0,32,40,23,13,28,0,0,0,SWO_WPO_DWLL
2016,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,16,30,44,24,92,85,65,138,28,0,0,28,54,81,113,58,54,55,54,27,0,54,27,29,0,0,SWO_WPO_DWLL
2017,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,22,78,181,230,337,516,540,622,418,280,163,353,410,575,432,290,367,321,384,191,85,82,18,60,50,238,113,36,SWO_WPO_DWLL
2017,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,315,484,1519,1188,981,1094,1760,1391,1364,1039,1274,852,1022,1238,1108,483,490,255,369,224,287,99,233,133,102,63,44,49,SWO_WPO_DWLL
2017,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,256,126,150,210,284,78,88,54,82,104,65,81,99,85,0,59,40,21,21,0,0,0,0,0,0,SWO_WPO_DWLL
2017,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,15,27,171,110,79,122,69,93,127,119,166,98,45,29,0,51,0,26,0,0,60,0,24,0,0,0,0,30,0,SWO_WPO_DWLL
2018,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,20,45,428,571,1181,1012,724,1115,1136,1504,1201,1072,1531,1119,775,789,801,409,303,311,254,187,255,214,189,70,79,95,57,7,SWO_WPO_DWLL
2018,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,34,50,104,154,179,280,242,699,2060,1348,1074,794,1364,1569,1157,841,1035,660,772,1118,865,641,554,485,216,472,227,209,113,135,152,19,89,30,SWO_WPO_DWLL
2018,7,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,34,220,109,57,111,44,37,74,69,123,93,25,0,79,0,38,53,35,57,24,0,0,23,0,0,0,0,SWO_WPO_DWLL
2018,10,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,24,0,0,25,145,116,101,193,123,170,446,243,247,218,216,300,29,59,29,27,80,118,0,82,58,0,22,29,29,0,SWO_WPO_DWLL
2019,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,73,18,238,504,622,753,957,739,631,805,814,599,844,615,749,853,508,538,460,374,232,308,282,124,91,164,57,142,115,139,108,SWO_WPO_DWLL
2019,4,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,8,0,56,58,0,0,0,19,0,107,151,451,429,1178,1737,1582,1456,2138,1827,1195,1087,1300,762,1275,1081,638,982,958,743,733,270,271,221,201,174,119,74,87,197,SWO_WPO_DWLL
